PLD (Å),LCD (Å),LCD/PLD,Sacc (m2/g),Porosity,Pore Volume (cm3/g),Qst-N2 (kJ/mol),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,LOG(DN2 - INF),LOG(DN2 - 1 bar)
28.83791,28.97733,1.004834608,2055.84,0.78488,1.808579276,3.79E+00,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,-2.56654,-2.72973
14.17588,16.11614,1.136870515,7251.58,0.90082,4.713817752,3.17E+00,46.34146341,39.02439024,4.87804878,4.87804878,4.87804878,0,0,-2.83731,-2.85261
14.1657,16.1092,1.137197597,6615.93,0.89698,4.233374079,3.37E+00,46.34146341,34.14634146,4.87804878,4.87804878,4.87804878,4.87804878,0,-2.8143,-2.84309
14.61444,15.22203,1.041574634,2323.71,0.7196,1.318110464,6.03E+00,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,-2.92474,-3.01369
16.38611,16.51752,1.008019597,1837.52,0.6725,1.03814668,7.08E+00,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,-2.93258,-2.91809
25.51863,25.62215,1.004056644,1965.11,0.74186,1.504387272,5.58E+00,50,41.56626506,4.21686747,4.21686747,0,0,0,-2.5959,-2.61901
24.38004,24.50349,1.005063568,1916.35,0.73354,1.436145427,5.96E+00,50,40.36144578,4.21686747,5.421686747,0,0,0,-2.66244,-2.873
23.23817,23.31082,1.003126322,1877.56,0.73106,1.414097257,5.75E+00,49.70414201,40.82840237,4.142011834,5.325443787,0,0,0,-2.65907,-3.02234
23.9675,24.14077,1.007229373,1831.45,0.72804,1.404590521,5.33E+00,48.87640449,42.69662921,4.494382022,3.93258427,0,0,0,-2.59032,-2.78755
20.81745,20.94699,1.006222664,1447.82,0.68052,1.106097743,5.51E+00,46.22641509,44.33962264,3.773584906,5.660377358,0,0,0,-2.57279,-2.77374
